index,guid,source,sentence1,sentence2,labels.label,new_label
0,klue-sts-v1_train_00000,airbnb-rtt,숙소 위치는 찾기 쉽고 일반적인 한국의 반지하 숙소입니다.,숙박시설의 위치는 쉽게 찾을 수 있고 한국의 대표적인 반지하 숙박시설입니다.,3.7,3.7
1,klue-sts-v1_train_00001,policy-sampled,위반행위 조사 등을 거부·방해·기피한 자는 500만원 이하 과태료 부과 대상이다.,시민들 스스로 자발적인 예방 노력을 한 것은 아산 뿐만이 아니었다.,0,0
2,klue-sts-v1_train_00002,paraKQC-sampled,회사가 보낸 메일은 이 지메일이 아니라 다른 지메일 계정으로 전달해줘.,사람들이 주로 네이버 메일을 쓰는 이유를 알려줘,0.3,0.3
3,klue-sts-v1_train_00003,policy-sampled,"긴급 고용안정지원금은 지역고용대응 등 특별지원금, 지자체별 소상공인 지원사업, 취업성공패키지, 청년구직활동지원금, 긴급복지지원제도 지원금과는 중복 수급이 불가능하다.","고용보험이 1차 고용안전망이라면, 국민취업지원제도는 2차 고용안전망입니다.",0.6,0.6
4,klue-sts-v1_train_00004,airbnb-rtt,"호스트의 답장이 늦으나, 개선될 것으로 보입니다.",호스트 응답이 늦었지만 개선될 것으로 보입니다.,4.7,4.7
5,klue-sts-v1_train_00005,policy-sampled,정부가 새로운 일자리를 직접 창출하는 노력도 배가하겠습니다.,세계에서 우리만큼 오랜 역사와 문화를 공유하는 가까운 이웃이 없습니다.,0,0
7,klue-sts-v1_train_00007,policy-sampled,사례집은 국립환경과학원 누리집(ecolibrary.me.go.kr)에서 12일부터 볼 수 있다.,"주말을 제외한 평일 오후 12시 30분부터 문예회관 공식 페이스북과 유튜브에서는 지역 예술인들이 중심이 된 서양음악, 국악, 댄스 등의 공연을 실시간으로 감상할 수 있다.",0,0
8,klue-sts-v1_train_00008,paraKQC-sampled,환퐁기 작동 방법 좀 설명해줘,조명등 낮에 켜놓으면 큰일나,0.1,0.1
9,klue-sts-v1_train_00009,airbnb-rtt,새로운 친구들을 만나고 싶을때 아주 추천합니다.,새로운 친구들을 만나고 싶을 때 추천합니다.,4.4,4.4
11,klue-sts-v1_train_00011,airbnb-sampled,2층 부엌과 거실 시설도 굉장히 좋고 히터도 잘 작동합니다.,주방시설 상태도 좋고 욕실도 깨끗합니다.,0.7,0.7
12,klue-sts-v1_train_00012,airbnb-sampled,오후 4시쯤에 정원은 너무나 아름다웠어요!,완벽에 가까울만큼 사진과 똑같은 장소였어요!,0,0
13,klue-sts-v1_train_00013,airbnb-sampled,다만 소파 침대에 얼룩과 먼지가 조금 있었습니다,"다만, 관광지들과 거리가 조금 있습니다.",1,1
14,klue-sts-v1_train_00014,paraKQC-sampled,앞으로 늦지 말고 회사 상사와 약속에는 먼저 나가야해.,약속 일정 변경은 당일이 아니라 미리미리 얘기하도록 하세요.,1.3,1.3
15,klue-sts-v1_train_00015,airbnb-rtt,신주쿠에서 딱 두 정거장 떨어진 히가시나카노 역에서 금방 갈 수 있구요,신주쿠에서 두 정거장만 가면 히가시나카노 역에 도착할 수 있어요.,3.8,3.8
