,source,sentence1,sentence2,labels.label
14,korsts_train,한 남자가 도로를 달리고 있다.,판다 개가 도로에서 달리고 있다.,2.0
17,korsts_train,여자가 글을 쓰고 있다.,여자가 수영을 하고 있다.,2.4
42,korsts_train,새끼 호랑이가 공을 가지고 놀고 있다.,아기가 인형을 가지고 놀고 있다.,2.1
45,korsts_train,한 남자가 피아노를 치고 있다.,한 여성이 바이올린을 연주하고 있다.,3.1
60,korsts_train,고양이가 키보드를 연주하고 있다.,한 남자가 두 개의 키보드를 연주하고 있다.,3.0
71,korsts_train,호랑이 새끼가 소리를 내고 있다.,호랑이가 주위를 돌아다니고 있다.,3.0
73,korsts_train,한 남자가 피아노를 치고 있다.,남자가 트럼펫을 연주하고 있다.,2.6
81,korsts_train,개가 물 멜론을 먹고 있다.,개가 수박 한 조각을 먹고 있다.,2.3
88,korsts_train,작은 개가 요가공을 쫓고 있다.,개가 공을 쫓고 있다.,2.9
94,korsts_train,남자가 공중 부양하고 있다.,남자가 말하고 있다.,2.9
98,korsts_train,한 남자가 감자를 썰고 있다.,한 여성이 감자 껍질을 벗기고 있다.,3.2
99,korsts_train,한 여성이 감자 껍질을 벗기고 있다.,남자가 감자를 자르고 있다.,3.2
100,korsts_train,남자가 기타를 치고 있다.,소뇌는 기타를 치고 있다.,3.1
116,korsts_train,한 여성이 팬케이크를 뒤집고 있다.,만화 요리사가 팬케이크를 뒤집고 있다.,2.5
118,korsts_train,남자가 말을 타고 있다.,한 남자가 전화로 말하고 있다.,1.9
123,korsts_train,남자가 빙글빙글 돌고 있다.,남자가 춤을 추고 있다.,2.5
127,korsts_train,한 소년이 악기를 연주하고 있다.,남자가 트럼펫을 연주하고 있다.,2.6
131,korsts_train,남자가 차를 들어 올리고 있다.,한 남자가 벽을 오르고 있다.,2.3
134,korsts_train,두 여자가 레슬링을 하고 있다.,두 여자가 바닥에서 씨름하고 있다.,2.1
135,korsts_train,강아지는 파란 테니스 공으로 경기를 했다.,강아지가 테니스 공을 가지고 놀고 있다.,2.7
137,korsts_train,고양이가 피아노를 치고 있다.,남자가 기타를 치고 있다.,1.9
139,korsts_train,한 여성이 전동 스쿠터를 타고 길을 따라 내려간다.,남자가 모터 스쿠터를 타고 있다.,2.2
142,korsts_train,개가 아기의 침을 핥는다.,개가 아기를 핥는다.,3.1
147,korsts_train,한 남자가 밧줄 다리를 천천히 건너고 있다.,한 소년이 다리를 건너고 있다.,3.1
148,korsts_train,남자가 기타를 치고 있다.,방에 앉아 있는 한 남자가 기타를 치고 있다.,2.8
150,korsts_train,한 여성이 달걀 두 개를 유리 그릇에 찢는다.,여자가 달걀을 그릇에 깨고 있다.,2.7
151,korsts_train,남자가 생선을 자르고 있다.,남자는 물고기를 내장으로 찔러 낸다.,2.7
156,korsts_train,한 남자와 여자가 숲을 함께 걷고 있다.,한 남자와 여자가 숲이 우거진 지역을 팔짱을 끼고 걷고 있다.,3.1
159,korsts_train,두 명의 여성이 음식물 처리기에 뭔가를 섞는다.,두 여자가 믹서기로 뭔가를 만든다.,2.2
162,korsts_train,한 남자가 밴드에서 플루트를 연주하고 있다.,남자가 기타를 치고 있다.,1.9
167,korsts_train,여자가 남자에게 먹이를 주고 있다.,한 여성이 고기를 섞고 있다.,1.8
174,korsts_train,남자가 기타를 치고 있다.,한 소년이 피아노를 치고 있다.,3.0
191,korsts_train,여자가 체중 운동을 하고 있다.,여자가 머리를 하고 있다.,1.8
206,korsts_train,두 남자가 이야기를 하고 있다.,두 남자가 기타를 치고 있다.,2.4
207,korsts_train,한 남자가 큰 빵 조각에 버터를 뿌린다.,한 남자가 마늘 빵에 버터를 바르고 있다.,3.1
208,korsts_train,한 남자가 높은 전선을 가로질러 달리고 있다.,남자가 밧줄로 달리고 있다.,2.2
215,korsts_train,누군가 피아노를 치고 있다.,남자가 기타를 치고 있다.,2.6
216,korsts_train,두 마리의 여우가 벽돌 테라스의 접시에서 먹고 있다.,여우는 접시에서 먹고 있다.,2.5
219,korsts_train,남자가 총을 쏘고 있다.,남자가 침을 뱉고 있다.,2.6
231,korsts_train,남자가 스테이크를 헹구고 있다.,남자가 기타를 치고 있다.,2.1
233,korsts_train,남자가 벽을 뛰어넘고 있다.,한 남자가 짧은 벽으로 뛰어내린다.,2.9
234,korsts_train,육상선수들은 트랙을 돌아서 경주한다.,주자들은 경주에서 경쟁한다.,1.8
