,sentence1,sentence2,labels.label
13,홍선주는 21일 자신의 페이스북에 '뉴스룸' 인터뷰를 한 사람이 자신이라고 공개했다.,"홍선주는 21일 자신의 페이스북에 ""접니다. JTBC '뉴스룸' 손석희 씨와 전화 인터뷰하고 영상 인터뷰까지 한 사람 접니다"" 라고 밝혔다.",2.9
19,다음은 이윤택 전 연희단거리패 예술감독의 사과문 전문이다.,다음은 이윤택 전 예술감독이 밝힌 사과문 전문과 1문 1답 전문이다.,3.2
34,9일 강원도 평창올림픽스타디움에서 열린 평창동계패럴림픽 개막식에서 문재인 대통령이 개회선언을 하고 있다.,9일 강원도 평창 올림픽스타디움에서 2018 평창 동계패럴림픽 개회식이 열리고 있다.,3.1
48,사람들을 만나기에 좋은 날이에요.,대인운이 좋으니 사람을 만나기에 좋은 날입니다.,3.0
73,나도 당했다) 폭로를 통해 뒤늦게 알려졌다.,나도 당했다) 폭로가 이어지고 있다.,2.8
78,전국 낮 최고기온은 5∼13도 수준으로 예상됐다.,전국 낮 최고기온은 4∼13도로 전날(5.3∼11.5도)과 비슷할 것으로 보인다.,2.9
86,오는 4월부터 일반 이용자들도 이용할 수 있게 된다.,오는 4월에는 일반 이용자들도 앱 마켓을 통해 '미니톡'을 내려받아 사용할 수 있다.,2.1
94,경찰은 해당 인터넷 방송사 녹화 영상을 확보해 정확한 사망 경위를 조사하고 있다.,경찰은 운전자와 차량 블랙박스 영상을 토대로 정확한 사고경위를 조사중이다.,2.6
96,남들의 오해를 살 만한 언행은 피하도록 하세요.,00년생 - 다른 사람에게 오해를 살 만한 언행은 피하세요.,2.9
102,"그는 ""법적 절차가 필요하다면 따르겠다.","그는 ""법적 절차가 진행된다면 성실하게 수사에 임하겠다.",2.8
107,"도심재개발 지구는 21개에서 93개(4.5배)로, 아파트 건립은 1만7060가구에서 3만802가구(1.8배)로 증가했다.",도심재개발 지구는 21개에서 93개로 4배 넘게 증가했다.,2.2
109,"더 이상 무슨 말을 하기가 힘들다""라고도 했다.","더 이상 무슨 말을 하기가 힘들고요, 차라리 법원에 가서.",2.5
114,25일 강원도 평창올림픽스타디움 열린 2018 평창올림픽 폐회식에서 엑소(EXO)의 카이가 공연을 펼치고 있다.,25일 강원도 평창 올림픽스타디움에서 열린 2018평창동계올림픽 폐회식에서 공연이 펼쳐지고 있다.,3.1
121,현실에 안주하지 말고 적극적으로 움직이세요.,매사에 자신감을 갖고 적극적으로 움직이세요.,2.4
126,혼자서 모든 짐을 짊어지지 마세요.,혼자서 모든 일을 처리하려고 하지 마세요.,3.2
128,너무 원칙만 고수하지 말고 융통성도 발휘하세요.,너무 자신의 생각만 고집하지 않아야 합니다.,2.4
130,관람 시간은 오전 10시부터 오후 6시까지(3월 4일은 오후 5시까지)다.,관람시간은 오전 10시~오후 6시.,3.2
141,스마트폰 중독과 유해물 노출에 대한 부모들의 걱정을 반영했다는 설명이다.,‘쿠키즈 미니폰’은 스마트폰 중독과 유해물 노출에 대한 부모의 걱정을 적극 반영했다.,2.4
143,"채용 분야인 한 축인 개발 분야는 서버, 블록체인, 데이터, 웹개발, DevOps 등이다.","개발 분야는 서버, 블록체인, 데이터, 웹개발, 데브옵스(DevOps) 등이다.",3.2
144,한국극작가협회는 이 전 감독을 회원에서 제명키로 했고 한국여성연극협회가 비판 성명을 냈다.,한편 한국극작가협회는 이 전 감독을 회원에서 제명한다고 지난 17일 발표했다.,2.7
150,SK텔레콤은 선택약정 요금할인 재약정에 따른 할인반환금도 유예했다.,SK텔레콤은 국내 이동통신사 중 최초로 선택약정 할인반환금 구조도 전면 개편했다.,2.1
152,밀양연극촌 이사장은 최근 성폭력으로 비난에 휩싸인 연극연출가 이윤택 씨가 2014년부터 맡고 있다.,(사)밀양연극촌 이윤택 이사장은 2014년부터 밀양연극촌 이사장직을 맡아 왔었다.,2.9
155,어려운 일은 말띠의 도움을 받도록 하세요.,어려운 일이 있으면 주변의 도움을 구하세요.,3.2
157,더 자세한 내용은 예술경영지원센터 누리집에서 확인할 수 있다.,더 자세한 내용은 홈페이지에서 확인할 수 있다.,2.9
160,경찰과 산림당국은 진화가 완료되는대로 정확한 피해 규모와 화재 원인 조사에 나설 예정이다.,경찰과 소방 당국은 정확한 화재 원인을 조사하고 있다.,2.5
161,이는 2015년 30만2800건에서 2016년 28만1700건으로 내려앉은 이후 또다시 큰 폭의 하락세다.,"2015년 30만2천800건에서 2016년 28만1천700건으로 30만 건이 깨진 후, 작년 또다시 줄었습니다.",2.9
165,삼성전자(대표 권오현 윤부근 신종균)는 공기청정기 신제품 ‘블루스카이 4000’을 출시한다고 26일 밝혔다.,삼성전자는 공기청정기 신제품 ‘블루스카이 4000’을 출시한다고 26일 밝혔다.,2.8
166,증권가에서는 갤럭시S9 시리즈의 출하량을 최소 4100만대에서 최대 4500만대로 보고 있다.,증권가에서는 약 4100만대부터 최대 4500만대까지 판매량이 증가할 수 있을 것이라고 분석했다.,3.0
170,바깥 활동보다는 내부 관리에 힘써야 하는 시기입니다.,내부나 아랫사람 관리에 힘쓰도록 하세요.,2.7
179,상대방의 내면을 잘 살피는 것이 좋습니다.,상대방의 변심에 주의하는 것이 좋습니다.,2.9
180,여기 저기 갈 곳이 많으니 분주한 날입니다.,갈 곳이 많아지고 재복도 좋은 날이다.,2.0
181,이동통신 3사는 예년과 마찬가지로 개통 행사를 연다.,이동통신3사는 예약가입자 개통 첫날인 3월 9일에 출시 기념 행사를 열 예정이다.,2.0
182,이번 사고로 실종자는 5명 사망자는 2명이 됐다.,이 사고로 근룡호 선원 7명 중 2명이 숨지고 5명이 실종됐다.,3.0
184,경찰과 소방당국은 차량 결함으로 불이 난 것으로 보고 정확한 원인을 조사 중이다.,경찰과 소방당국은 목격자 진술 등을 토대로 화재원인을 조사 중이다.,2.9
188,논란은 여기서 그치지 않습니다.,하지만 폭로는 여기서 그치지 않았다.,3.2
192,자세한 내용은 삼성전자 소셜 채널을 통해 10일부터 확인할 수 있다.,자세한 내용은 삼성전자 갤럭시S9 홈페이지를 통해 확인할 수 있다.,2.4
193,전국이 맑은 가운데 큰 추위는 없을 것으로 보인다.,전국이 대체로 맑고 포근할 것으로 보인다.,3.1
194,특별 보상 프로그램은 갤럭시S9·S9+ 사전예약 구매고객의 개통이 시작되는 3월9일부터 6월30일까지 진행된다.,특별 보상 프로그램은 3월 9~6월 30일 진행된다.,2.0
195,맺고 끊는 것을 확실히 하고 의사를 분명히 밝히세요.,맺고 끊는 것을 분명히.,3.2
196,이동통신3사는 이날부터 예약구매자 사전개통을 시작하며 가입자 모으기에 나섰다.,이동통신3사는 예약가입자 개통 첫날인 3월 9일에 출시 기념 행사를 열 예정이다.,1.9
200,이해진 창업자가 물러난 자리엔 네이버 비즈니스위원회 리더인 최인혁 해피빈재단 대표(47)가 선임된다.,네이버는 이해진 창업자의 자리를 최인혁 비즈니스위원회 리더가 대신하게 된다.,3.1
201,세계이동통신사업자협회(GSMA) 공동관 ‘이노베이션 시티’에 참여하는 KT도 5G 네트워크와 서비스를 소개한다.,KT는 세계이동통신사업자협회(GSMA) 공동 주제관인 ‘이노베이션 시티’에 화웨이 등 해외 기업들과 함께 참여한다.,2.4
203,다른 사람 믿었다가 낭패를 볼 수 있어요.,다른 사람의 말에 현혹되지 마세요.,2.3
